TotalSteps,SedentaryMinutes,VeryActiveMinutes,Calories
0,1440,0,1688
3147,744,0,2188
144,1431,0,1720
4068,817,1,2419
5245,795,8,2748
400,1410,3,1799
0,1440,0,1688
1321,1360,0,1928
1758,900,0,2067
6157,714,0,2780
8360,634,6,3101
7174,749,10,2896
1619,834,0,1962
1831,916,0,2015
2421,739,0,2297
2283,848,0,2067
0,1440,0,1688
0,1440,0,1688
0,1440,0,1688
0,1440,0,1688
0,1440,0,1688
0,48,0,57
23186,1036,85,3921
15337,1098,108,3566
21129,1061,68,3793
13422,1052,106,3934
29326,888,94,4547
15118,1060,58,3545
11423,1215,29,2761
18785,1131,82,3676
19948,1123,73,3679
19377,1119,82,3659
18258,1141,61,3427
11200,1032,102,3891
16674,1148,64,3455
12986,1101,113,3802
11101,1157,22,2860
23629,1104,93,3808
14890,1143,58,3060
9733,1207,18,2698
27745,1089,124,4398
10930,1226,36,2786
4790,1335,0,2189
10818,1189,19,2817
18193,1154,66,3477
14055,1170,67,3052
21727,1095,96,4015
12332,1036,105,4142
10686,1174,17,2847
20226,1131,73,3710
10733,1187,18,2832
21420,1127,88,3832
8064,770,23,1849
